Показник,region,Категорія розрізу,activity,sex,Періодичність,year,enterprises_count
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,52
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,506
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,418
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,16
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,58
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,512
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,124
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,212
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,175
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,408
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,110
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,5
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,631
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,940
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Діяльність домашніх господарств,Чоловіки,Річна,2025,1
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,4197
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,97
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,896
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,253
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,504
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,61
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,652
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,454
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,164
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,1121
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,776
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,11
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,203
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,214
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,113
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,124
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,292
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,529
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,611
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,94
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,15
Кількість активних підприємств,Закарпатська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,1260
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,246
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,91
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,3
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,630
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,3675
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,85
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,601
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,2395
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,16
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,104
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,40
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,211
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,1789
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,558
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,17
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,735
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,111
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,433
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,125
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,134
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,754
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,280
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,596
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,81
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,963
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,1752
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,138
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,835
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,316
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,33
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,105
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,747
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,315
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,346
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,1896
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,83
Кількість активних підприємств,Запорізька,Вид економічної діяльності,Освіта,Жінки,Річна,2025,996
Кількість активних підприємств,Запорізька,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,14
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,249
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,4
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,870
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,2227
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,4468
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,698
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,432
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,38
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,116
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,887
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,38
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,1193
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,384
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,896
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,131
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,170
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,82
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,473
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,25
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,1114
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,395
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,555
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,467
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,125
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,390
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,206
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,160
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,56
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,158
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,97
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,163
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,88
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,14
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,680
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,794
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,283
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,677
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,Діяльність домашніх господарств,Жінки,Річна,2025,2
Кількість активних підприємств,Івано-Франківська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,80
Кількість активних підприємств,Київська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,458
Кількість активних підприємств,Київська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,49
Кількість активних підприємств,Київська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,Річна,2025,3665
Кількість активних підприємств,Київська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,51
Кількість активних підприємств,Київська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,2145
Кількість активних підприємств,Київська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,Річна,2025,850
Кількість активних підприємств,Київська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,232
Кількість активних підприємств,Київська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,1572
Кількість активних підприємств,Київська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,8
Кількість активних підприємств,Київська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Жінки,Річна,2025,194
Кількість активних підприємств,Київська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,175
Кількість активних підприємств,Київська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,1823
Кількість активних підприємств,Київська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,1905
Кількість активних підприємств,Київська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,226
Кількість активних підприємств,Київська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,207
Кількість активних підприємств,Київська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,57
Кількість активних підприємств,Київська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,499
Кількість активних підприємств,Київська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,615
Кількість активних підприємств,Київська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,308
Кількість активних підприємств,Київська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,1044
Кількість активних підприємств,Київська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,756
Кількість активних підприємств,Київська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,24
Кількість активних підприємств,Київська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,2665
Кількість активних підприємств,Київська,Вид економічної діяльності,Фінансова та страхова діяльність,Чоловіки,Річна,2025,46
Кількість активних підприємств,Київська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,1477
Кількість активних підприємств,Київська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,Річна,2025,566
Кількість активних підприємств,Київська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,Річна,2025,1587
Кількість активних підприємств,Київська,Вид економічної діяльності,Надання інших видів послуг,Чоловіки,Річна,2025,6813
Кількість активних підприємств,Київська,Вид економічної діяльності,Діяльність домашніх господарств,Жінки,Річна,2025,2
Кількість активних підприємств,Київська,Вид економічної діяльності,Діяльність домашніх господарств,Чоловіки,Річна,2025,3
Кількість активних підприємств,Київська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,189
Кількість активних підприємств,Київська,Вид економічної діяльності,Освіта,Чоловіки,Річна,2025,349
Кількість активних підприємств,Київська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,916
Кількість активних підприємств,Київська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,528
Кількість активних підприємств,Київська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,1357
Кількість активних підприємств,Київська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,381
Кількість активних підприємств,Київська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,3015
Кількість активних підприємств,Київська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,780
Кількість активних підприємств,Київська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,1321
Кількість активних підприємств,Київська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,153
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,748
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,13
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Інформація та телекомунікації,Жінки,Річна,2025,58
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,186
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,Річна,2025,727
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Операції з нерухомим майном,Жінки,Річна,2025,234
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,365
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,80
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,41
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,22
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,172
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,104
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,289
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,2830
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Жінки,Річна,2025,132
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,29
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,Річна,2025,402
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,94
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Жінки,Річна,2025,8
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,314
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,578
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Діяльність домашніх господарств,Жінки,Річна,2025,1
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,Річна,2025,109
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,Річна,2025,79
Кількість активних підприємств,Кіровоградська,Вид економічної діяльності,Операції з нерухомим майном,Чоловіки,Річна,2025,322
